 4 kameny a na kazdym kameni 3 symboly
       k1      k2      k3     k4
01 -  had     had     had     had
02 -  had     had     had     ryba
03 -  had     had     had     ptak
04 -  had     had     ryba     had
05 -  had     had     ryba     ryba
06 -  had     had     ryba     ptak
07 -  had     had     ptak     had
08 -  had     had     ptak     ryba
09 -  had     had     ptak     ptak
10 -  had     ryba     had     had
11 -  had     ryba     had     ryba
12 -  had     ryba     had     ptak
13 -  had     ryba     ryba     had
14 -  had     ryba     ryba     ryba
15 -  had     ryba     ryba     ptak
16 -  had     ryba     ptak     had
17 -  had     ryba     ptak     ryba
18 -  had     ryba     ptak     ptak
19 -  had     ptak     had     had
20 -  had     ptak     had     ryba
21 -  had     ptak     had     ptak
22 -  had     ptak     ryba     had
23 -  had     ptak     ryba     ryba
24 -  had     ptak     ryba     ptak
25 -  had     ptak     ptak     had
26 -  had     ptak     ptak     ryba
27 -  had     ptak     ptak     ptak
28 -  ryba     had     had     had
29 -  ryba     had     had     ryba
30 -  ryba     had     had     ptak
31 -  ryba     had     ryba     had
32 -  ryba     had     ryba     ryba
33 -  ryba     had     ryba     ptak
34 -  ryba     had     ptak     had
35 -  ryba     had     ptak     ryba
36 -  ryba     had     ptak     ptak
37 -  ryba     ryba     had     had
38 -  ryba     ryba     had     ryba
39 -  ryba     ryba     had     ptak
40 -  ryba     ryba     ryba     had
41 -  ryba     ryba     ryba     ryba
42 -  ryba     ryba     ryba     ptak
43 -  ryba     ryba     ptak     had
44 -  ryba     ryba     ptak     ryba
45 -  ryba     ryba     ptak     ptak
46 -  ryba     ptak     had     had
47 -  ryba     ptak     had     ryba
48 -  ryba     ptak     had     ptak
49 -  ryba     ptak     ryba     had
50 -  ryba     ptak     ryba     ryba
51 -  ryba     ptak     ryba     ptak
52 -  ryba     ptak     ptak     had
53 -  ryba     ptak     ptak     ryba
54 -  ryba     ptak     ptak     ptak
55 -  ptak     had     had     had
56 -  ptak     had     had     ryba
57 -  ptak     had     had     ptak
58 -  ptak     had     ryba     had
59 -  ptak     had     ryba     ryba
60 -  ptak     had     ryba     ptak
61 -  ptak     had     ptak     had
62 -  ptak     had     ptak     ryba
63 -  ptak     had     ptak     ptak
64 -  ptak     ryba     had     had
65 -  ptak     ryba     had     ryba
66 -  ptak     ryba     had     ptak
67 -  ptak     ryba     ryba     had
68 -  ptak     ryba     ryba     ryba
69 -  ptak     ryba     ryba     ptak
70 -  ptak     ryba     ptak     had
71 -  ptak     ryba     ptak     ryba
72 -  ptak     ryba     ptak     ptak
73 -  ptak     ptak     had     had
74 -  ptak     ptak     had     ryba
75 -  ptak     ptak     had     ptak
76 -  ptak     ptak     ryba     had
77 -  ptak     ptak     ryba     ryba
78 -  ptak     ptak     ryba     ptak
79 -  ptak     ptak     ptak     had
80 -  ptak     ptak     ptak     ryba
81 -  ptak     ptak     ptak     ptak
