 4 kameny a na kazdym kameni 3 symboly
       k1      k2      k3     k4
01 -  had     had     had     had
02 -  had     had     had     delfin
03 -  had     had     had     orel
04 -  had     had     delfin     had
05 -  had     had     delfin     delfin
06 -  had     had     delfin     orel
07 -  had     had     orel     had
08 -  had     had     orel     delfin
09 -  had     had     orel     orel
10 -  had     delfin     had     had
11 -  had     delfin     had     delfin
12 -  had     delfin     had     orel
13 -  had     delfin     delfin     had
14 -  had     delfin     delfin     delfin
15 -  had     delfin     delfin     orel
16 -  had     delfin     orel     had
17 -  had     delfin     orel     delfin
18 -  had     delfin     orel     orel
19 -  had     orel     had     had
20 -  had     orel     had     delfin
21 -  had     orel     had     orel
22 -  had     orel     delfin     had
23 -  had     orel     delfin     delfin
24 -  had     orel     delfin     orel
25 -  had     orel     orel     had
26 -  had     orel     orel     delfin
27 -  had     orel     orel     orel
28 -  delfin     had     had     had
29 -  delfin     had     had     delfin
30 -  delfin     had     had     orel
31 -  delfin     had     delfin     had
32 -  delfin     had     delfin     delfin
33 -  delfin     had     delfin     orel
34 -  delfin     had     orel     had
35 -  delfin     had     orel     delfin
36 -  delfin     had     orel     orel
37 -  delfin     delfin     had     had
38 -  delfin     delfin     had     delfin
39 -  delfin     delfin     had     orel
40 -  delfin     delfin     delfin     had
41 -  delfin     delfin     delfin     delfin
42 -  delfin     delfin     delfin     orel
43 -  delfin     delfin     orel     had
44 -  delfin     delfin     orel     delfin
45 -  delfin     delfin     orel     orel
46 -  delfin     orel     had     had
47 -  delfin     orel     had     delfin
48 -  delfin     orel     had     orel
49 -  delfin     orel     delfin     had
50 -  delfin     orel     delfin     delfin
51 -  delfin     orel     delfin     orel
52 -  delfin     orel     orel     had
53 -  delfin     orel     orel     delfin
54 -  delfin     orel     orel     orel
55 -  orel     had     had     had
56 -  orel     had     had     delfin
57 -  orel     had     had     orel
58 -  orel     had     delfin     had
59 -  orel     had     delfin     delfin
60 -  orel     had     delfin     orel
61 -  orel     had     orel     had
62 -  orel     had     orel     delfin
63 -  orel     had     orel     orel
64 -  orel     delfin     had     had
65 -  orel     delfin     had     delfin
66 -  orel     delfin     had     orel
67 -  orel     delfin     delfin     had
68 -  orel     delfin     delfin     delfin
69 -  orel     delfin     delfin     orel
70 -  orel     delfin     orel     had
71 -  orel     delfin     orel     delfin
72 -  orel     delfin     orel     orel
73 -  orel     orel     had     had
74 -  orel     orel     had     delfin
75 -  orel     orel     had     orel
76 -  orel     orel     delfin     had
77 -  orel     orel     delfin     delfin
78 -  orel     orel     delfin     orel
79 -  orel     orel     orel     had
80 -  orel     orel     orel     delfin
81 -  orel     orel     orel     orel
